1840,0.628535512,341,97,1807,0,0,fake
977,0,4843,16,1825,0,0,fake
54915,0,354,117,3550,0,1,fake
64738,0,234,61,40638,0,0,fake
74739,0,119,110,4311,0,0,fake
1544,0.945626478,2168,9,1097,0,0,fake
66370,0,297,89,101359,0,1,fake
7979,2.76854928,216,156,6505,0,0,fake
36723,0,1594,27,95706,0,0,fake
8348,10.44056907,4055,83,2284,0,1,fake
29447,0,4956,132,45957,0,1,fake
124917,0,3848,134,84573,0,0,fake
6179,0,1179,131,7787,0,1,fake
85536,0.914285714,1001,148,68435,0,0,fake
8486,0,265,86,63652,0,1,fake
309436,0,21027,100,246186,0,0,fake
188298,0.239635754,1164,0,171155,0,0,fake
99024,0,7870,151,243354,0,0,fake
3403,0,15868,108,16439,0,1,fake
22828,0,4400,72,38556,0,0,fake
10881,4.081632653,947,127,2586,0,0,fake
27522,0,581,155,76202,0,0,fake
39396,0,3796,126,17136,0,0,fake
1315,10.85900945,31,81,566,0,0,fake
23390,0,540,96,5159,0,0,fake
36911,0.161017631,135,106,27936,0,1,fake
88975,0.040348612,303,80,2526,0,0,fake
612,0.661375661,283,65,867,0,0,fake
16488,1.635768811,200,158,19346,0,0,fake
91664,0,709,115,22595,0,0,fake
121,166.6666667,358,31,60,0,1,not
2082,2.966842906,58,112,193,1,1,not
50482,2.98765,47,48,6,1,1,not
5278,25.62977748,947,46,106,1,1,not
369,43.9,939,13,359,0,0,not
30,62.5,371,0,3,0,0,not
6,93.75,4317,52,1673,0,0,not
2,133.36,68,44,10,0,0,not
1,2000,40,8,7,0,0,not
94,56.902,8,9,22,0,0,not
6032,9.693700286,25,56,6,1,1,not
12231,47.56908262,133,16,195,1,1,not
3520,4.068386765,51,102,2,1,1,not
1955,2.485501243,389,84,715,1,1,not
2514,16.17273458,3,49,4,1,0,not
34,62.5,102,65,191,0,0,not
1180,67.098,603,30,27131,0,0,not
233,23.8,140,75,871,0,1,not
981,100,133,28,1370,0,0,not
551,233,151,52,11302,0,0,not
29,121,178,52,596,0,0,not
360,31.78,145,60,15,0,0,not
2510,11.67234,174,130,2740,0,0,not
478,4.108204966,34,127,3,1,1,not
2252,7.629987109,45,42,327,1,1,not
436,0.855379239,0,13,691,1,1,not
4626,1.019003636,1146,55,743,1,1,not
2009,0,4,38,71,1,1,not
26423,0.263087128,2368,23,0,1,1,not
17,222.2222222,43,0,18,0,0,not
